"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.669730000E0,-9.960123897E-2,6.973881721E0,6.899405003E0
7.689463125E0,-6.131608039E-2,6.990631580E0,6.782156467E0
7.709220885E0,-7.686942816E-2,6.961917400E0,6.952046871E0
7.728987083E0,-1.797607988E-1,6.945167542E0,7.111468792E0
7.748721666E0,-1.546361595E-1,6.868597507E0,6.931707859E0
7.768479479E0,9.451649338E-2,6.914061069E0,7.231110096E0
7.788294583E0,-2.662015148E-2,6.861418724E0,7.286444187E0
7.808025364E0,-9.601201117E-2,6.903293133E0,7.044469833E0
7.827783125E0,-7.208377868E-2,6.912864685E0,7.135396957E0
7.847501354E0,-2.303091809E-2,6.822834492E0,7.006184578E0
7.867288854E0,3.589234129E-2,6.856633186E0,6.912565708E0
7.887046614E0,-7.477570791E-3,6.876972198E0,6.875476837E0
7.906839323E0,-7.208377868E-2,6.912864685E0,6.922136784E0
7.926574062E0,-6.370890141E-2,6.953542709E0,7.104290485E0
